match_id,season,bowling_team,bowler,balls,runs_conceded,wickets,dot_balls,overs,economy,dot_ball_pct,bowling_average,three_wicket_haul,five_wicket_haul
1304047,2022,Chennai Super Kings,AF Milne,15,19,0,9,2.5,7.6,60.0,0.0,False,False
1304047,2022,Chennai Super Kings,DJ Bravo,24,20,3,11,4.0,5.0,45.83333333333333,6.666666666666667,True,False
1304047,2022,Chennai Super Kings,MJ Santner,24,31,1,5,4.0,7.75,20.833333333333336,31.0,False,False
1304047,2022,Chennai Super Kings,RA Jadeja,24,25,0,8,4.0,6.25,33.33333333333333,0.0,False,False
1304047,2022,Chennai Super Kings,S Dube,6,15,0,0,1.0,15.0,0.0,0.0,False,False
1304047,2022,Chennai Super Kings,TU Deshpande,18,23,0,9,3.0,7.666666666666667,50.0,0.0,False,False
1304047,2022,Kolkata Knight Riders,AD Russell,24,38,1,7,4.0,9.5,29.166666666666668,38.0,False,False
1304047,2022,Kolkata Knight Riders,CV Varun,24,23,1,11,4.0,5.75,45.83333333333333,23.0,False,False
1304047,2022,Kolkata Knight Riders,SP Narine,24,15,0,10,4.0,3.75,41.66666666666667,0.0,False,False
1304047,2022,Kolkata Knight Riders,Shivam Mavi,24,35,0,12,4.0,8.75,50.0,0.0,False,False
1304047,2022,Kolkata Knight Riders,UT Yadav,24,20,2,15,4.0,5.0,62.5,10.0,False,False
1304048,2022,Delhi Capitals,AR Patel,24,40,0,3,4.0,10.0,12.5,0.0,False,False
1304048,2022,Delhi Capitals,KK Ahmed,24,27,2,13,4.0,6.75,54.166666666666664,13.5,False,False
1304048,2022,Delhi Capitals,KL Nagarkoti,12,29,0,4,2.0,14.5,33.33333333333333,0.0,False,False
1304048,2022,Delhi Capitals,Kuldeep Yadav,24,18,3,8,4.0,4.5,33.33333333333333,6.0,True,False
1304048,2022,Delhi Capitals,Lalit Yadav,12,15,0,2,2.0,7.5,16.666666666666664,0.0,False,False
1304048,2022,Delhi Capitals,SN Thakur,24,48,0,7,4.0,12.0,29.166666666666668,0.0,False,False
1304048,2022,Mumbai Indians,Basil Thampi,24,39,3,10,4.0,9.75,41.66666666666667,13.0,True,False
1304048,2022,Mumbai Indians,DR Sams,24,57,0,4,4.0,14.25,16.666666666666664,0.0,False,False
1304048,2022,Mumbai Indians,JJ Bumrah,20,43,0,4,3.3333333333333335,12.899999999999999,20.0,0.0,False,False
1304048,2022,Mumbai Indians,M Ashwin,24,14,2,14,4.0,3.5,58.333333333333336,7.0,False,False
1304048,2022,Mumbai Indians,TS Mills,18,26,1,6,3.0,8.666666666666666,33.33333333333333,26.0,False,False
1304049,2022,Punjab Kings,Arshdeep Singh,24,36,1,9,4.0,9.0,37.5,36.0,False,False
1304049,2022,Punjab Kings,Harpreet Brar,18,38,0,5,3.0,12.666666666666666,27.77777777777778,0.0,False,False
1304049,2022,Punjab Kings,LS Livingstone,6,14,0,1,1.0,14.0,16.666666666666664,0.0,False,False
1304049,2022,Punjab Kings,OF Smith,24,53,0,8,4.0,13.25,33.33333333333333,0.0,False,False
1304049,2022,Punjab Kings,RD Chahar,24,26,1,7,4.0,6.5,29.166666666666668,26.0,False,False
1304049,2022,Punjab Kings,Sandeep Sharma,24,38,0,9,4.0,9.5,37.5,0.0,False,False
1304049,2022,Royal Challengers Bengaluru,Akash Deep,18,38,1,4,3.0,12.666666666666666,22.22222222222222,38.0,False,False
1304049,2022,Royal Challengers Bengaluru,DJ Willey,18,28,0,5,3.0,9.333333333333334,27.77777777777778,0.0,False,False
1304049,2022,Royal Challengers Bengaluru,HV Patel,24,36,1,10,4.0,9.0,41.66666666666667,36.0,False,False
1304049,2022,Royal Challengers Bengaluru,Mohammed Siraj,24,60,2,8,4.0,15.0,33.33333333333333,30.0,False,False
1304049,2022,Royal Challengers Bengaluru,PWH de Silva,24,40,1,10,4.0,10.0,41.66666666666667,40.0,False,False
1304049,2022,Royal Challengers Bengaluru,Shahbaz Ahmed,6,6,0,3,1.0,6.0,50.0,0.0,False,False
1304050,2022,Gujarat Titans,HH Pandya,24,37,0,10,4.0,9.25,41.66666666666667,0.0,False,False
1304050,2022,Gujarat Titans,LH Ferguson,24,24,0,11,4.0,6.0,45.83333333333333,0.0,False,False
1304050,2022,Gujarat Titans,Mohammed Shami,24,25,3,13,4.0,6.25,54.166666666666664,8.333333333333334,True,False
1304050,2022,Gujarat Titans,Rashid Khan,24,27,1,8,4.0,6.75,33.33333333333333,27.0,False,False
1304050,2022,Gujarat Titans,VR Aaron,24,45,2,5,4.0,11.25,20.833333333333336,22.5,False,False
1304050,2022,Lucknow Super Giants,Avesh Khan,22,34,1,9,3.6666666666666665,9.272727272727273,40.909090909090914,34.0,False,False
1304050,2022,Lucknow Super Giants,DJ Hooda,18,31,1,3,3.0,10.333333333333334,16.666666666666664,31.0,False,False
1304050,2022,Lucknow Super Giants,KH Pandya,24,18,1,11,4.0,4.5,45.83333333333333,18.0,False,False
1304050,2022,Lucknow Super Giants,Mohsin Khan,12,18,0,4,2.0,9.0,33.33333333333333,0.0,False,False
1304050,2022,Lucknow Super Giants,PVD Chameera,18,26,2,10,3.0,8.666666666666666,55.55555555555556,13.0,False,False
1304050,2022,Lucknow Super Giants,Ravi Bishnoi,24,34,0,11,4.0,8.5,45.83333333333333,0.0,False,False
1304051,2022,Rajasthan Royals,M Prasidh Krishna,24,16,2,16,4.0,4.0,66.66666666666666,8.0,False,False
1304051,2022,Rajasthan Royals,NM Coulter-Nile,18,49,0,3,3.0,16.333333333333332,16.666666666666664,0.0,False,False
1304051,2022,Rajasthan Royals,R Ashwin,24,21,0,8,4.0,5.25,33.33333333333333,0.0,False,False
1304051,2022,Rajasthan Royals,R Parag,6,14,0,0,1.0,14.0,0.0,0.0,False,False
1304051,2022,Rajasthan Royals,TA Boult,24,27,2,15,4.0,6.75,62.5,13.5,False,False
1304051,2022,Rajasthan Royals,YS Chahal,24,22,3,8,4.0,5.5,33.33333333333333,7.333333333333333,True,False
1304051,2022,Sunrisers Hyderabad,Abhishek Sharma,6,15,0,1,1.0,15.0,16.666666666666664,0.0,False,False
1304051,2022,Sunrisers Hyderabad,B Kumar,24,30,1,13,4.0,7.5,54.166666666666664,30.0,False,False
1304051,2022,Sunrisers Hyderabad,R Shepherd,24,33,1,12,4.0,8.25,50.0,33.0,False,False
1304051,2022,Sunrisers Hyderabad,T Natarajan,24,44,2,7,4.0,11.0,29.166666666666668,22.0,False,False
1304051,2022,Sunrisers Hyderabad,Umran Malik,24,41,2,10,4.0,10.25,41.66666666666667,20.5,False,False
1304051,2022,Sunrisers Hyderabad,Washington Sundar,18,47,0,3,3.0,15.666666666666666,16.666666666666664,0.0,False,False
1304052,2022,Kolkata Knight Riders,AD Russell,14,36,0,6,2.3333333333333335,15.428571428571427,42.857142857142854,0.0,False,False
1304052,2022,Kolkata Knight Riders,CV Varun,24,34,1,10,4.0,8.5,41.66666666666667,34.0,False,False
1304052,2022,Kolkata Knight Riders,SP Narine,24,12,1,13,4.0,3.0,54.166666666666664,12.0,False,False
1304052,2022,Kolkata Knight Riders,TG Southee,24,20,3,16,4.0,5.0,66.66666666666666,6.666666666666667,True,False
1304052,2022,Kolkata Knight Riders,UT Yadav,24,20,2,13,4.0,5.0,54.166666666666664,10.0,False,False
1304052,2022,Kolkata Knight Riders,VR Iyer,6,10,0,2,1.0,10.0,33.33333333333333,0.0,False,False
1304052,2022,Royal Challengers Bengaluru,Akash Deep,23,45,3,10,3.8333333333333335,11.739130434782608,43.47826086956522,15.0,True,False
1304052,2022,Royal Challengers Bengaluru,DJ Willey,12,8,0,5,2.0,4.0,41.66666666666667,0.0,False,False
1304052,2022,Royal Challengers Bengaluru,HV Patel,24,11,2,19,4.0,2.75,79.16666666666666,5.5,False,False
1304052,2022,Royal Challengers Bengaluru,Mohammed Siraj,24,28,1,11,4.0,7.0,45.83333333333333,28.0,False,False
1304052,2022,Royal Challengers Bengaluru,PWH de Silva,24,20,4,15,4.0,5.0,62.5,5.0,True,False
1304052,2022,Royal Challengers Bengaluru,Shahbaz Ahmed,6,16,0,2,1.0,16.0,33.33333333333333,0.0,False,False
1304053,2022,Chennai Super Kings,D Pretorius,24,32,2,8,4.0,8.0,33.33333333333333,16.0,False,False
1304053,2022,Chennai Super Kings,DJ Bravo,24,36,1,5,4.0,9.0,20.833333333333336,36.0,False,False
1304053,2022,Chennai Super Kings,MM Ali,6,14,0,1,1.0,14.0,16.666666666666664,0.0,False,False
1304053,2022,Chennai Super Kings,Mukesh Choudhary,21,39,0,8,3.5,11.142857142857142,38.095238095238095,0.0,False,False
1304053,2022,Chennai Super Kings,RA Jadeja,12,21,0,3,2.0,10.5,25.0,0.0,False,False
1304053,2022,Chennai Super Kings,S Dube,6,25,0,0,1.0,25.0,0.0,0.0,False,False
1304053,2022,Chennai Super Kings,TU Deshpande,24,44,1,8,4.0,11.0,33.33333333333333,44.0,False,False
1304053,2022,Lucknow Super Giants,AJ Tye,24,42,2,8,4.0,10.5,33.33333333333333,21.0,False,False
1304053,2022,Lucknow Super Giants,Avesh Khan,24,42,2,11,4.0,10.5,45.83333333333333,21.0,False,False
1304053,2022,Lucknow Super Giants,DJ Hooda,6,12,0,2,1.0,12.0,33.33333333333333,0.0,False,False
1304053,2022,Lucknow Super Giants,KH Pandya,18,37,0,2,3.0,12.333333333333334,11.11111111111111,0.0,False,False
1304053,2022,Lucknow Super Giants,PVD Chameera,24,49,0,6,4.0,12.25,25.0,0.0,False,False
1304053,2022,Lucknow Super Giants,Ravi Bishnoi,24,28,2,10,4.0,7.0,41.66666666666667,14.0,False,False
1304054,2022,Kolkata Knight Riders,AD Russell,2,0,1,2,0.3333333333333333,0.0,100.0,0.0,False,False
1304054,2022,Kolkata Knight Riders,CV Varun,24,14,0,14,4.0,3.5,58.333333333333336,0.0,False,False
1304054,2022,Kolkata Knight Riders,SP Narine,24,23,1,13,4.0,5.75,54.166666666666664,23.0,False,False
1304054,2022,Kolkata Knight Riders,Shivam Mavi,12,39,1,4,2.0,19.5,33.33333333333333,39.0,False,False
1304054,2022,Kolkata Knight Riders,TG Southee,24,37,2,13,4.0,9.25,54.166666666666664,18.5,False,False
1304054,2022,Kolkata Knight Riders,UT Yadav,24,24,4,12,4.0,6.0,50.0,6.0,True,False
1304054,2022,Punjab Kings,Arshdeep Singh,18,33,0,8,3.0,11.0,44.44444444444444,0.0,False,False
1304054,2022,Punjab Kings,Harpreet Brar,12,20,0,4,2.0,10.0,33.33333333333333,0.0,False,False
1304054,2022,Punjab Kings,K Rabada,18,23,1,8,3.0,7.666666666666667,44.44444444444444,23.0,False,False
1304054,2022,Punjab Kings,LS Livingstone,3,13,0,0,0.5,26.0,0.0,0.0,False,False
1304054,2022,Punjab Kings,OF Smith,12,39,1,4,2.0,19.5,33.33333333333333,39.0,False,False
1304054,2022,Punjab Kings,RD Chahar,24,13,2,13,4.0,3.25,54.166666666666664,6.5,False,False
1304055,2022,Mumbai Indians,Basil Thampi,6,26,0,1,1.0,26.0,16.666666666666664,0.0,False,False
