match_id,date,season,venue,city,stage,toss_winner,toss_decision,match_won_by,player_of_match,win_outcome,result_type,method,team1,team2,innings1_score,innings2_score,win_type,toss_match_same_winner
1304047,2022-03-26,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Kolkata Knight Riders,field,Kolkata Knight Riders,UT Yadav,6 wickets,,,Chennai Super Kings,Kolkata Knight Riders,131.0,133.0,Chased,Yes
1304048,2022-03-27,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,4 wickets,,,Mumbai Indians,Delhi Capitals,177.0,179.0,Chased,Yes
1304049,2022-03-27,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Punjab Kings,field,Punjab Kings,OF Smith,5 wickets,,,Royal Challengers Bengaluru,Punjab Kings,205.0,208.0,Chased,Yes
1304050,2022-03-28,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Gujarat Titans,field,Gujarat Titans,Mohammed Shami,5 wickets,,,Lucknow Super Giants,Gujarat Titans,158.0,161.0,Chased,Yes
1304051,2022-03-29,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Sunrisers Hyderabad,field,Rajasthan Royals,SV Samson,61 runs,,,Rajasthan Royals,Sunrisers Hyderabad,210.0,149.0,Defended,No
1304052,2022-03-30,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,PWH de Silva,3 wickets,,,Kolkata Knight Riders,Royal Challengers Bengaluru,128.0,132.0,Chased,Yes
1304053,2022-03-31,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Lucknow Super Giants,field,Lucknow Super Giants,E Lewis,6 wickets,,,Chennai Super Kings,Lucknow Super Giants,210.0,211.0,Chased,Yes
1304054,2022-04-01,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Kolkata Knight Riders,field,Kolkata Knight Riders,UT Yadav,6 wickets,,,Punjab Kings,Kolkata Knight Riders,137.0,141.0,Chased,Yes
1304055,2022-04-02,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Mumbai Indians,field,Rajasthan Royals,JC Buttler,23 runs,,,Rajasthan Royals,Mumbai Indians,193.0,170.0,Defended,No
1304056,2022-04-02,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Delhi Capitals,field,Gujarat Titans,LH Ferguson,14 runs,,,Gujarat Titans,Delhi Capitals,171.0,157.0,Defended,No
1304057,2022-04-03,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Chennai Super Kings,field,Punjab Kings,LS Livingstone,54 runs,,,Punjab Kings,Chennai Super Kings,180.0,126.0,Defended,No
1304058,2022-04-04,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Lucknow Super Giants,Avesh Khan,12 runs,,,Lucknow Super Giants,Sunrisers Hyderabad,169.0,157.0,Defended,No
1304059,2022-04-05,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,KD Karthik,4 wickets,,,Rajasthan Royals,Royal Challengers Bengaluru,169.0,173.0,Chased,Yes
1304060,2022-04-06,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Kolkata Knight Riders,field,Kolkata Knight Riders,PJ Cummins,5 wickets,,,Mumbai Indians,Kolkata Knight Riders,161.0,162.0,Chased,Yes
1304061,2022-04-07,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Lucknow Super Giants,field,Lucknow Super Giants,Q de Kock,6 wickets,,,Delhi Capitals,Lucknow Super Giants,149.0,155.0,Chased,Yes
1304062,2022-04-08,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Gujarat Titans,field,Gujarat Titans,Shubman Gill,6 wickets,,,Punjab Kings,Gujarat Titans,189.0,190.0,Chased,Yes
1304063,2022-04-09,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,8 wickets,,,Chennai Super Kings,Sunrisers Hyderabad,154.0,155.0,Chased,Yes
1304064,2022-04-09,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Anuj Rawat,7 wickets,,,Mumbai Indians,Royal Challengers Bengaluru,151.0,152.0,Chased,Yes
1304065,2022-04-10,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Kolkata Knight Riders,field,Delhi Capitals,Kuldeep Yadav,44 runs,,,Delhi Capitals,Kolkata Knight Riders,215.0,171.0,Defended,No
1304066,2022-04-10,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Lucknow Super Giants,field,Rajasthan Royals,YS Chahal,3 runs,,,Rajasthan Royals,Lucknow Super Giants,165.0,162.0,Defended,No
1304067,2022-04-11,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KS Williamson,8 wickets,,,Gujarat Titans,Sunrisers Hyderabad,162.0,168.0,Chased,Yes
1304068,2022-04-12,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Royal Challengers Bengaluru,field,Chennai Super Kings,S Dube,23 runs,,,Chennai Super Kings,Royal Challengers Bengaluru,216.0,193.0,Defended,No
1304069,2022-04-13,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Mumbai Indians,field,Punjab Kings,MA Agarwal,12 runs,,,Punjab Kings,Mumbai Indians,198.0,186.0,Defended,No
1304070,2022-04-14,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Rajasthan Royals,field,Gujarat Titans,HH Pandya,37 runs,,,Gujarat Titans,Rajasthan Royals,192.0,155.0,Defended,No
1304071,2022-04-15,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Sunrisers Hyderabad,RA Tripathi,7 wickets,,,Kolkata Knight Riders,Sunrisers Hyderabad,175.0,176.0,Chased,Yes
1304072,2022-04-16,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Mumbai Indians,field,Lucknow Super Giants,KL Rahul,18 runs,,,Lucknow Super Giants,Mumbai Indians,199.0,181.0,Defended,No
1304073,2022-04-16,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Delhi Capitals,field,Royal Challengers Bengaluru,KD Karthik,16 runs,,,Royal Challengers Bengaluru,Delhi Capitals,189.0,173.0,Defended,No
1304074,2022-04-17,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umran Malik,7 wickets,,,Punjab Kings,Sunrisers Hyderabad,151.0,152.0,Chased,Yes
1304075,2022-04-17,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Gujarat Titans,field,Gujarat Titans,DA Miller,3 wickets,,,Chennai Super Kings,Gujarat Titans,169.0,170.0,Chased,Yes
1304076,2022-04-18,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Kolkata Knight Riders,field,Rajasthan Royals,YS Chahal,7 runs,,,Rajasthan Royals,Kolkata Knight Riders,217.0,210.0,Defended,No
1304077,2022-04-19,2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Unknown,Lucknow Super Giants,field,Royal Challengers Bengaluru,F du Plessis,18 runs,,,Royal Challengers Bengaluru,Lucknow Super Giants,181.0,163.0,Defended,No
1304078,2022-04-20,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,9 wickets,,,Punjab Kings,Delhi Capitals,115.0,119.0,Chased,Yes
1304079,2022-04-21,2022,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Unknown,Chennai Super Kings,field,Chennai Super Kings,Mukesh Choudhary,3 wickets,,,Mumbai Indians,Chennai Super Kings,155.0,156.0,Chased,Yes
1304080,2022-04-22,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Delhi Capitals,field,Rajasthan Royals,JC Buttler,15 runs,,,Rajasthan Royals,Delhi Capitals,222.0,207.0,Defended,No
1304081,2022-04-23,2022,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Unknown,Gujarat Titans,bat,Gujarat Titans,Rashid Khan,8 runs,,,Gujarat Titans,Kolkata Knight Riders,156.0,148.0,Defended,Yes
1304082,2022-04-23,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Jansen,9 wickets,,,Royal Challengers Bengaluru,Sunrisers Hyderabad,68.0,72.0,Chased,Yes
1304083,2022-04-24,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Mumbai Indians,field,Lucknow Super Giants,KL Rahul,36 runs,,,Lucknow Super Giants,Mumbai Indians,168.0,132.0,Defended,No
1304084,2022-04-25,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Chennai Super Kings,field,Punjab Kings,S Dhawan,11 runs,,,Punjab Kings,Chennai Super Kings,187.0,176.0,Defended,No
1304085,2022-04-26,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Royal Challengers Bengaluru,field,Rajasthan Royals,R Parag,29 runs,,,Rajasthan Royals,Royal Challengers Bengaluru,144.0,115.0,Defended,No
1304086,2022-04-27,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Gujarat Titans,field,Gujarat Titans,Umran Malik,5 wickets,,,Sunrisers Hyderabad,Gujarat Titans,195.0,199.0,Chased,Yes
1304087,2022-04-28,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,4 wickets,,,Kolkata Knight Riders,Delhi Capitals,146.0,150.0,Chased,Yes
1304088,2022-04-29,2022,"Maharashtra Cricket Association Stadium, Pune",Pune,Unknown,Punjab Kings,field,Lucknow Super Giants,KH Pandya,20 runs,,,Lucknow Super Giants,Punjab Kings,153.0,133.0,Defended,No
1304089,2022-04-30,2022,"Brabourne Stadium, Mumbai",Mumbai,Unknown,Royal Challengers Bengaluru,bat,Gujarat Titans,R Tewatia,6 wickets,,,Royal Challengers Bengaluru,Gujarat Titans,170.0,174.0,Chased,No
1304090,2022-04-30,2022,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Unknown,Mumbai Indians,field,Mumbai Indians,SA Yadav,5 wickets,,,Rajasthan Royals,Mumbai Indians,158.0,161.0,Chased,Yes
1304091,2022-05-01,2022,"Wankhede Stadium, Mumbai",Mumbai,Unknown,Lucknow Super Giants,bat,Lucknow Super Giants,Mohsin Khan,6 runs,,,Lucknow Super Giants,Delhi Capitals,195.0,189.0,Defended,Yes
